Gradients,Years,,,,,,,,,,,,,
Stocks,19_21,20_22,21_23,22_24,19_21,20_22,21_23,22_24,,,19_21,20_22,21_23,22_24
CL,0.03,0.02,-0.01,0.01,up,flat,flat,flat,,,,,,
CLX,0.14,-0.11,-0.06,0.02,up,down,down,flat,,,,,,
CMA,-0.03,0.13,-0.01,-0.07,down,up,flat,down,,,,,,
CMCSA,0.02,0.03,-0.05,0.02,flat,up,down,flat,,,,,,
CME,-0.02,0.15,-0.05,0.06,flat,up,down,up,,,,,,
CMG,1.7,1.58,-0.25,2.39,up,up,down,up,,,,,,
CMI,0.19,0.12,0,0.11,up,up,flat,up,,,,,,
CMS,0.01,0.02,0.01,-0.02,flat,flat,flat,flat,,,,,,
CNC,0.03,0.04,0.03,-0.03,up,up,up,down,,,,,,
CNP,-0.02,0.02,0.01,0,flat,flat,flat,flat,,,,,,
COF,0.02,0.23,-0.14,0.03,flat,up,down,up,,,,,,
COO,0.03,0.07,-0.06,0.03,up,up,down,up,,,,,,
COP,-0.04,0.11,0.15,0.05,down,up,up,up,,,,,,
COR,0.06,0.1,0.11,0.17,up,up,up,up,,,,,,
COST,0.24,0.51,0.2,0.4,up,up,up,up,,,,,,
CPAY,-0.05,-0.01,-0.18,0.15,down,flat,down,up,,,,,,
CPB,0.02,-0.01,0.02,-0.01,flat,flat,flat,flat,,,,,,
CPRT,0.02,0.03,-0.01,0.06,flat,up,flat,up,,,,,,
CPT,-0.01,0.2,-0.05,-0.09,flat,up,down,down,,,,,,
CRL,0.32,0.48,-0.44,-0.04,up,up,down,down,,,,,,
CRM,0.21,0.13,-0.25,0.25,up,up,down,up,,,,,,
CSCO,-0.01,0.04,-0.02,0.02,flat,up,flat,flat,,,,,,
CSGP,0.08,0.01,-0.03,0.05,up,flat,down,up,,,,,,
CSX,0.01,0.03,-0.01,0.01,flat,up,flat,flat,,,,,,
CTAS,0.26,0.36,0.15,0.48,up,up,up,up,,,,,,
CTLT,0.15,0.11,-0.14,-0.13,up,up,down,down,,,,,,
CTRA,-0.01,0.01,0.03,0,flat,flat,up,flat,,,,,,
CTSH,0.03,0.06,-0.04,0.01,up,up,down,flat,,,,,,
CVS,0.03,0.1,0.02,-0.06,up,up,flat,down,,,,,,
CVX,-0.06,0.12,0.19,-0.01,down,up,up,flat,,,,,,
CZR,0.06,0.15,-0.16,-0.01,up,up,down,flat,,,,,,
D,0.01,0.01,-0.02,-0.07,flat,flat,flat,down,,,,,,
DAL,-0.05,0.03,-0.02,0.01,down,up,flat,flat,,,,,,
DAY,0.11,0.05,-0.1,0.03,up,up,down,up,,,,,,
DD,-0.01,0.07,-0.03,0.03,flat,up,down,up,,,,,,
DE,0.31,0.52,0.12,0.07,up,up,up,up,,,,,,
DECK,0.35,0.43,0.01,1.15,up,up,flat,up,,,,,,
DFS,0,0.18,-0.03,0.01,flat,up,down,flat,,,,,,
DG,0.18,0.08,0.06,-0.29,up,up,up,down,,,,,,
DGX,0.07,0.1,0.01,-0.01,up,up,flat,flat,,,,,,
DHI,0.08,0.09,-0.02,0.18,up,up,flat,up,,,,,,
DHR,0.21,0.28,-0.05,-0.02,up,up,down,flat,,,,,,
DIS,0.07,0.1,-0.22,-0.03,up,up,down,down,,,,,,
DLR,0.07,0.04,-0.11,0.04,up,up,down,up,,,,,,
DLTR,-0.01,0.1,0.12,-0.07,flat,up,up,down,,,,,,
DOC,0,0.02,-0.02,-0.02,flat,flat,flat,flat,,,,,,
DOV,0.06,0.18,-0.05,0.06,up,up,down,up,,,,,,
DOW,0.02,0.05,-0.01,0,flat,up,flat,flat,,,,,,
DPZ,0.34,0.27,-0.32,0.12,up,up,down,up,,,,,,
DRI,-0.01,0.17,0.01,0.11,flat,up,flat,up,,,,,,
DTE,0,0.07,0.01,-0.04,flat,up,flat,down,,,,,,
