Date,RL
2022-12-29,102.93892560686382
2022-12-30,104.44749232700892
2023-01-03,106.18227168491907
2023-01-04,107.94989231654576
2023-01-05,109.255129132952
2023-01-06,110.72004808698381
2023-01-09,112.1530293055943
2023-01-10,112.93755776541573
2023-01-11,113.60545131138393
2023-01-12,114.01507350376673
2023-01-13,114.42608424595424
2023-01-17,115.39390127999442
2023-01-18,116.87270682198661
2023-01-19,117.82664162772043
2023-01-20,118.54452187674386
2023-01-23,119.23046439034597
2023-01-24,119.7719977242606
2023-01-25,120.39962332589286
2023-01-26,120.78841509137835
2023-01-27,120.90782928466797
2023-01-30,120.9911400931222
2023-01-31,121.25635419573103
2023-02-01,120.80646405901227
2023-02-02,120.73426055908205
2023-02-03,120.0705337524414
2023-02-06,119.2054694039481
2023-02-07,117.88357107979911
